"name","clone_url","open_issues","url"
"development-process","https://github.com/byuitechops/development-process.git",9,"https://github.com/byuitechops/development-process"
"math-equation-regex-generator","https://github.com/byuitechops/math-equation-regex-generator.git",0,"https://github.com/byuitechops/math-equation-regex-generator"
"template-changer","https://github.com/byuitechops/template-changer.git",9,"https://github.com/byuitechops/template-changer"
"match-number-range","https://github.com/byuitechops/match-number-range.git",0,"https://github.com/byuitechops/match-number-range"
"country-of-the-day","https://github.com/byuitechops/country-of-the-day.git",0,"https://github.com/byuitechops/country-of-the-day"
"progress-map","https://github.com/byuitechops/progress-map.git",2,"https://github.com/byuitechops/progress-map"
"d2l-quiz-settings-report","https://github.com/byuitechops/d2l-quiz-settings-report.git",1,"https://github.com/byuitechops/d2l-quiz-settings-report"
"avatar-SCORM","https://github.com/byuitechops/avatar-SCORM.git",1,"https://github.com/byuitechops/avatar-SCORM"
"daily-time-log","https://github.com/byuitechops/daily-time-log.git",2,"https://github.com/byuitechops/daily-time-log"
"function-machine","https://github.com/byuitechops/function-machine.git",1,"https://github.com/byuitechops/function-machine"
"scorm-template","https://github.com/byuitechops/scorm-template.git",0,"https://github.com/byuitechops/scorm-template"
"learning-promises","https://github.com/byuitechops/learning-promises.git",0,"https://github.com/byuitechops/learning-promises"
"sample-banners","https://github.com/byuitechops/sample-banners.git",0,"https://github.com/byuitechops/sample-banners"
"csv-mapleta-to-d2l","https://github.com/byuitechops/csv-mapleta-to-d2l.git",2,"https://github.com/byuitechops/csv-mapleta-to-d2l"
"animated-function-plotter","https://github.com/byuitechops/animated-function-plotter.git",0,"https://github.com/byuitechops/animated-function-plotter"
"make-gif-list","https://github.com/byuitechops/make-gif-list.git",0,"https://github.com/byuitechops/make-gif-list"
"gamification-with-units","https://github.com/byuitechops/gamification-with-units.git",3,"https://github.com/byuitechops/gamification-with-units"
"temp-gameification","https://github.com/byuitechops/temp-gameification.git",0,"https://github.com/byuitechops/temp-gameification"
"valence","https://github.com/byuitechops/valence.git",2,"https://github.com/byuitechops/valence"
"gamification-space","https://github.com/byuitechops/gamification-space.git",0,"https://github.com/byuitechops/gamification-space"
"english-assessment","https://github.com/byuitechops/english-assessment.git",1,"https://github.com/byuitechops/english-assessment"
"drop-down","https://github.com/byuitechops/drop-down.git",1,"https://github.com/byuitechops/drop-down"
"fd209-sim-demo-","https://github.com/byuitechops/fd209-sim-demo-.git",0,"https://github.com/byuitechops/fd209-sim-demo-"
"portfolio-generator","https://github.com/byuitechops/portfolio-generator.git",0,"https://github.com/byuitechops/portfolio-generator"
"drop-down-done-buttons","https://github.com/byuitechops/drop-down-done-buttons.git",0,"https://github.com/byuitechops/drop-down-done-buttons"
"leaky-cauldron","https://github.com/byuitechops/leaky-cauldron.git",0,"https://github.com/byuitechops/leaky-cauldron"
"animation-demo","https://github.com/byuitechops/animation-demo.git",0,"https://github.com/byuitechops/animation-demo"
"planet-simulator","https://github.com/byuitechops/planet-simulator.git",11,"https://github.com/byuitechops/planet-simulator"
"leaky-cauldron-data-extractor","https://github.com/byuitechops/leaky-cauldron-data-extractor.git",0,"https://github.com/byuitechops/leaky-cauldron-data-extractor"
"course-search","https://github.com/byuitechops/course-search.git",5,"https://github.com/byuitechops/course-search"
"get-csv","https://github.com/byuitechops/get-csv.git",0,"https://github.com/byuitechops/get-csv"
"everest","https://github.com/byuitechops/everest.git",0,"https://github.com/byuitechops/everest"
"gregorio","https://github.com/byuitechops/gregorio.git",0,"https://github.com/byuitechops/gregorio"
"image-retriever","https://github.com/byuitechops/image-retriever.git",1,"https://github.com/byuitechops/image-retriever"
"d2l-locker-api","https://github.com/byuitechops/d2l-locker-api.git",0,"https://github.com/byuitechops/d2l-locker-api"
"code-editor-in-lms","https://github.com/byuitechops/code-editor-in-lms.git",11,"https://github.com/byuitechops/code-editor-in-lms"
"digging-deeper","https://github.com/byuitechops/digging-deeper.git",3,"https://github.com/byuitechops/digging-deeper"
"browser-automation","https://github.com/byuitechops/browser-automation.git",0,"https://github.com/byuitechops/browser-automation"
"nightmare-before-christmas","https://github.com/byuitechops/nightmare-before-christmas.git",6,"https://github.com/byuitechops/nightmare-before-christmas"
"nightmare-helpers","https://github.com/byuitechops/nightmare-helpers.git",0,"https://github.com/byuitechops/nightmare-helpers"
"check-gradebook","https://github.com/byuitechops/check-gradebook.git",4,"https://github.com/byuitechops/check-gradebook"
"web-features","https://github.com/byuitechops/web-features.git",0,"https://github.com/byuitechops/web-features"
"ilearn-template","https://github.com/byuitechops/ilearn-template.git",0,"https://github.com/byuitechops/ilearn-template"
"cmd-settings","https://github.com/byuitechops/cmd-settings.git",0,"https://github.com/byuitechops/cmd-settings"
"jspdf-example","https://github.com/byuitechops/jspdf-example.git",0,"https://github.com/byuitechops/jspdf-example"
"project-tracker","https://github.com/byuitechops/project-tracker.git",12,"https://github.com/byuitechops/project-tracker"
"tech-ops-tool","https://github.com/byuitechops/tech-ops-tool.git",0,"https://github.com/byuitechops/tech-ops-tool"
"portfolio-display","https://github.com/byuitechops/portfolio-display.git",0,"https://github.com/byuitechops/portfolio-display"
"portfolio-modifier","https://github.com/byuitechops/portfolio-modifier.git",0,"https://github.com/byuitechops/portfolio-modifier"
"release-final-grades","https://github.com/byuitechops/release-final-grades.git",0,"https://github.com/byuitechops/release-final-grades"
"course-list-generator","https://github.com/byuitechops/course-list-generator.git",1,"https://github.com/byuitechops/course-list-generator"
"temp-template-changer-docs","https://github.com/byuitechops/temp-template-changer-docs.git",0,"https://github.com/byuitechops/temp-template-changer-docs"
"bce-csv-generator","https://github.com/byuitechops/bce-csv-generator.git",0,"https://github.com/byuitechops/bce-csv-generator"
"phrase-finder","https://github.com/byuitechops/phrase-finder.git",0,"https://github.com/byuitechops/phrase-finder"
"inactive-student-finder","https://github.com/byuitechops/inactive-student-finder.git",1,"https://github.com/byuitechops/inactive-student-finder"
"adobe-api-runner","https://github.com/byuitechops/adobe-api-runner.git",0,"https://github.com/byuitechops/adobe-api-runner"
"live-development-server","https://github.com/byuitechops/live-development-server.git",0,"https://github.com/byuitechops/live-development-server"
"pressure-simulator","https://github.com/byuitechops/pressure-simulator.git",1,"https://github.com/byuitechops/pressure-simulator"
"museum-gamification","https://github.com/byuitechops/museum-gamification.git",0,"https://github.com/byuitechops/museum-gamification"
"english-connect","https://github.com/byuitechops/english-connect.git",13,"https://github.com/byuitechops/english-connect"
"for-the-strength-of-developers","https://github.com/byuitechops/for-the-strength-of-developers.git",5,"https://github.com/byuitechops/for-the-strength-of-developers"
"lti-first","https://github.com/byuitechops/lti-first.git",0,"https://github.com/byuitechops/lti-first"
"qualtrics-contact-sync","https://github.com/byuitechops/qualtrics-contact-sync.git",7,"https://github.com/byuitechops/qualtrics-contact-sync"
"find-intersection","https://github.com/byuitechops/find-intersection.git",0,"https://github.com/byuitechops/find-intersection"
"spotlight","https://github.com/byuitechops/spotlight.git",0,"https://github.com/byuitechops/spotlight"
"lti-second","https://github.com/byuitechops/lti-second.git",0,"https://github.com/byuitechops/lti-second"
"noggl","https://github.com/byuitechops/noggl.git",0,"https://github.com/byuitechops/noggl"
"cookie-monster","https://github.com/byuitechops/cookie-monster.git",0,"https://github.com/byuitechops/cookie-monster"
"learnosity-lti-server","https://github.com/byuitechops/learnosity-lti-server.git",0,"https://github.com/byuitechops/learnosity-lti-server"
"valenceHistory","https://github.com/byuitechops/valenceHistory.git",0,"https://github.com/byuitechops/valenceHistory"
"eci-dashboard-docs","https://github.com/byuitechops/eci-dashboard-docs.git",1,"https://github.com/byuitechops/eci-dashboard-docs"
"eric-rainbow-kitten","https://github.com/byuitechops/eric-rainbow-kitten.git",0,"https://github.com/byuitechops/eric-rainbow-kitten"
"ilearn-tools","https://github.com/byuitechops/ilearn-tools.git",1,"https://github.com/byuitechops/ilearn-tools"
"digging-deeper-development","https://github.com/byuitechops/digging-deeper-development.git",0,"https://github.com/byuitechops/digging-deeper-development"
"tech-ops-portal","https://github.com/byuitechops/tech-ops-portal.git",0,"https://github.com/byuitechops/tech-ops-portal"
"barker-proof-of-concept","https://github.com/byuitechops/barker-proof-of-concept.git",2,"https://github.com/byuitechops/barker-proof-of-concept"
"nightmarejs-demo","https://github.com/byuitechops/nightmarejs-demo.git",0,"https://github.com/byuitechops/nightmarejs-demo"
"fix-final-grade-scale","https://github.com/byuitechops/fix-final-grade-scale.git",4,"https://github.com/byuitechops/fix-final-grade-scale"
"Math-Course-Editor-Renamer","https://github.com/byuitechops/Math-Course-Editor-Renamer.git",0,"https://github.com/byuitechops/Math-Course-Editor-Renamer"
"csv-to-table","https://github.com/byuitechops/csv-to-table.git",6,"https://github.com/byuitechops/csv-to-table"
